card_id,rationale_id,domain,decision_point,type,prompt,answer,choices,source_ids
IRR-007-Q2,IRR-007,Irrigation,"How should laser-assisted irrigation, including PIPS or SWEEPS, be framed?",multiple_choice,Which is the safest board answer about laser-assisted irrigation?,"Use it only as a trained, device-specific adjunct while keeping standard irrigation and safety principles","Use it routinely because it proves superior healing in all cases; Use it only as a trained, device-specific adjunct while keeping standard irrigation and safety principles; Use it instead of NaOCl in necrotic cases; Use it preferentially when a perforation permits irrigant escape",S4; S104; S138; S151; S152
IRR-008-Q1,IRR-008,Irrigation,When does apical negative pressure change irrigation strategy or outcomes?,short_answer,What is the main safety rationale for apical negative-pressure irrigation?,"It draws irrigant toward suction near working length instead of forcing irrigant apically under positive pressure, which can improve apical exchange while reducing extrusion risk when used correctly.",,S4; S104; S125; S126
IRR-008-Q2,IRR-008,Irrigation,When does apical negative pressure change irrigation strategy or outcomes?,multiple_choice,Which claim about apical negative pressure is best supported?,It can be a delivery/safety strategy and may reduce early postoperative pain in selected cases,It guarantees periapical healing in all cases; It can be a delivery/safety strategy and may reduce early postoperative pain in selected cases; It removes the inorganic smear layer without EDTA; It is the same mechanism as passive ultrasonic irrigation,S4; S104; S125; S126
IRR-009-Q1,IRR-009,Irrigation,How should irrigation surrogate endpoints be translated into clinical outcome claims?,short_answer,Why does smear-layer removal or lower bacterial count not automatically prove better long-term endodontic healing?,"Those are surrogate endpoints. They can support a mechanism, but long-term healing requires clinical and radiographic outcome data at defined follow-up.",,S4; S104; S125; S138; S139; S140; S141; S151; S152; S160; S161
IRR-009-Q2,IRR-009,Irrigation,How should irrigation surrogate endpoints be translated into clinical outcome claims?,multiple_choice,A device study reports cleaner canal walls in extracted teeth but no patient follow-up. What is the best board interpretation?,The result supports a possible cleaning mechanism but does not prove clinical healing superiority,The device has proven superior periapical healing; The result supports a possible cleaning mechanism but does not prove clinical healing superiority; Irrigation chemistry no longer matters; The device is now the standard of care for all canals,S4; S104; S125; S138; S139; S140; S141; S151; S152; S160; S161
IRR-010-Q1,IRR-010,Irrigation,When does complex canal anatomy justify adjunctive irrigation activation?,short_answer,What is the board-safe way to use micro-CT or 3D-printed model activation evidence in a complex molar?,"Use it as endpoint-specific support for improved irrigant exchange, distribution, or cleaning in difficult anatomy, not as proof that a named activation device improves long-term periapical healing.",,S4; S104; S151; S152
IRR-010-Q2,IRR-010,Irrigation,When does complex canal anatomy justify adjunctive irrigation activation?,multiple_choice,A study shows better NaOCl distribution in an extracted mandibular molar model but no patient follow-up. What conclusion is most appropriate?,The finding supports a possible adjunctive role in similar anatomy but does not prove superior healing,The device is mandatory for all molars; The finding supports a possible adjunctive role in similar anatomy but does not prove superior healing; NaOCl chemistry is unnecessary if activation is used; The result proves PIPS and SWEEPS are clinically superior,S4; S104; S151; S152
IRR-011-Q1,IRR-011,Irrigation,How should clinical healing trials affect irrigant activation claims?,short_answer,Why does the Liang ultrasonic activation RCT not make all activation either mandatory or useless?,"It tested one ultrasonic protocol in single-rooted teeth with radiographic follow-up and found no healing superiority versus syringe irrigation. That limits universal healing claims but does not answer every device, anatomy, or surrogate-cleaning question.",,S104; S151; S152; S160
IRR-011-Q2,IRR-011,Irrigation,How should clinical healing trials affect irrigant activation claims?,multiple_choice,A board question cites a human RCT showing no significant healing difference between ultrasonic activation and syringe irrigation in single-rooted teeth. What is the best interpretation?,The trial tempers universal healing claims but does not eliminate selected adjunctive activation,Ultrasonic activation is mandatory in every canal; The trial tempers universal healing claims but does not eliminate selected adjunctive activation; PIPS and SWEEPS now have proven healing superiority; NaOCl chemistry can be skipped if activation is used,S104; S151; S152; S160
IRR-012-Q1,IRR-012,Irrigation,How should preheated sodium hypochlorite temperature claims be handled?,short_answer,Why is the temperature on a NaOCl warmer not enough to prove the temperature in the apical canal?,"Temperature changes with syringe cooling, flow rate, delivery duration, canal position, apical patency, surrounding conditions, and post-delivery cooling; the device setting is not the same as sustained apical temperature.",,S4; S104; S139; S161
IRR-012-Q2,IRR-012,Irrigation,How should preheated sodium hypochlorite temperature claims be handled?,multiple_choice,Which statement best translates ex vivo preheated-NaOCl temperature evidence for board purposes?,"Temperature behavior is protocol- and anatomy-dependent, so warmed NaOCl remains a controlled adjunct","A warmer setting guarantees sustained apical temperature and better healing; Temperature behavior is protocol- and anatomy-dependent, so warmed NaOCl remains a controlled adjunct; Warmed NaOCl replaces EDTA; Open apices are the best indication for aggressive warmed irrigation",S4; S104; S139; S161
MED-001-Q1,MED-001,Intracanal Medicaments,When should calcium hydroxide be used as an interappointment medicament?,short_answer,What is the main board-level reason to place calcium hydroxide between endodontic appointments?,"To provide interappointment microbial reduction, endotoxin effect, and regrowth control when treatment is staged and obturation should be delayed.",,S4; S10; S26; S27; S31; S44; S50
MED-001-Q2,MED-001,Intracanal Medicaments,When should calcium hydroxide be used as an interappointment medicament?,multiple_choice,Which scenario best supports calcium hydroxide as an interappointment medicament?,Necrotic tooth with persistent canal exudate that cannot be dried predictably today,"Adequately cleaned, shaped, dried, asymptomatic permanent tooth ready for obturation; Necrotic tooth with persistent canal exudate that cannot be dried predictably today; Vital tooth completed under rubber dam with definitive obturation planned now; Routine placement in every tooth before any root canal filling",S4; S10; S26; S27; S31; S44; S50
MED-002-Q1,MED-002,Intracanal Medicaments,Why does calcium hydroxide not reliably eliminate Enterococcus faecalis?,short_answer,Name three reasons calcium hydroxide may fail to eliminate E. faecalis in a root canal system.,"E. faecalis can persist in biofilm and dentinal tubules; dentin can buffer the high pH; hydroxyl ions may not diffuse deeply or remain concentrated enough, especially with tissue remnants, exudate, or complex anatomy.",,S4; S28; S29; S30; S32
MED-002-Q2,MED-002,Intracanal Medicaments,Why does calcium hydroxide not reliably eliminate Enterococcus faecalis?,multiple_choice,Which statement best describes calcium hydroxide against E. faecalis?,"Its high pH helps, but biofilm, tubules, and dentin buffering limit reliability","It predictably sterilizes infected canals; Its high pH helps, but biofilm, tubules, and dentin buffering limit reliability; It works only as an analgesic; It should always be mixed with chlorhexidine because clinical superiority is settled",S4; S28; S29; S30; S32
MED-003-Q1,MED-003,Intracanal Medicaments,How should calcium hydroxide be placed safely?,short_answer,Why is extrusion of calcium hydroxide beyond the apex clinically concerning?,"Its high pH and tissue toxicity can cause periapical tissue necrosis, pain, and, near neurovascular anatomy, sensory disturbance or nerve injury.",,S4; S26; S33
MED-003-Q2,MED-003,Intracanal Medicaments,How should calcium hydroxide be placed safely?,multiple_choice,Which placement behavior is safest when using calcium hydroxide as an intracanal medicament?,Use controlled delivery matched to anatomy and avoid apical pressure,Bind the needle apically to force dense placement; Use controlled delivery matched to anatomy and avoid apical pressure; Intentionally express material past the apex; Skip working length because the medicament is temporary,S4; S26; S33
DX-001-Q1,DX-001,Diagnosis,Why document both pulpal and apical diagnoses?,short_answer,"A tooth has lingering thermal pain and is painful to percussion, with no apical radiolucency. What paired diagnosis is most likely?",Symptomatic irreversible pulpitis with symptomatic apical periodontitis.,,S5; S9; S10
DX-001-Q2,DX-001,Diagnosis,Why document both pulpal and apical diagnoses?,multiple_choice,Which finding defines symptomatic apical periodontitis most directly?,Pain to biting/percussion or palpation,Lingering cold only; Pain to biting/percussion or palpation; A sinus tract only; A normal PDL space only,S5; S9; S10
PERIOENDO-001-Q1,PERIOENDO-001,Endodontic-Periodontal Lesions,How are endodontic-periodontal lesions differentiated before treatment?,short_answer,What diagnostic information should be gathered before labeling a suspected endodontic-periodontal lesion?,"Pulpal and apical diagnosis, full-mouth and tooth-specific periodontal probing, sinus-tract tracing when present, periapical radiographs with selective CBCT when useful, and assessment for crack, perforation, resorption, or vertical root fracture.",,S5; S8; S58; S59; S106; S107; S108; S66; S67; S162
PERIOENDO-001-Q2,PERIOENDO-001,Endodontic-Periodontal Lesions,How are endodontic-periodontal lesions differentiated before treatment?,multiple_choice,Which finding most supports an endodontic drainage pathway rather than generalized periodontitis as the only problem?,Necrotic tooth with an isolated deep probing defect and localized radiolucency,Generalized 6-8 mm pockets throughout the mouth; Necrotic tooth with an isolated deep probing defect and localized radiolucency; Bleeding marginal gingivitis around most teeth with vital pulps; Stable shallow probing with no pulpal symptoms,S5; S8; S58; S59; S106; S107; S108; S66; S67; S162
PERIOENDO-002-Q1,PERIOENDO-002,Endodontic-Periodontal Lesions,How should sinus tracts and isolated deep probing defects be traced?,short_answer,"Why should a sinus tract be traced before choosing endodontic treatment, periodontal treatment, or extraction?","The opening may not be adjacent to the source. Tracing helps show whether drainage leads to an apex, lateral canal, perforation/post area, root fracture/resorption, periodontal pocket, or another tooth, changing treatment and prognosis.",,S5; S58; S59; S106; S107
PERIOENDO-002-Q2,PERIOENDO-002,Endodontic-Periodontal Lesions,How should sinus tracts and isolated deep probing defects be traced?,multiple_choice,A sinus tract opens on the buccal gingiva near tooth #30. What is the best next diagnostic frame?,"Trace the tract when feasible and correlate with pulp tests, probing, and radiographs","Treat #30 immediately because it is closest to the opening; Trace the tract when feasible and correlate with pulp tests, probing, and radiographs; Prescribe antibiotics as definitive treatment; Assume it is always a periodontal abscess",S5; S58; S59; S106; S107
PERIOENDO-003-Q1,PERIOENDO-003,Endodontic-Periodontal Lesions,When does periodontal prognosis change endodontic sequencing or extraction decisions?,short_answer,Why is root canal treatment alone not enough for a tooth with pulp necrosis and generalized advanced periodontitis?,"RCT can remove the intracanal source, but generalized attachment loss, furcation involvement, mobility, plaque control, and periodontal maintenance determine whether the tooth has enough support to be retained.",,S58; S59; S106; S107; S108; S127; S142; S143
PERIOENDO-003-Q2,PERIOENDO-003,Endodontic-Periodontal Lesions,When does periodontal prognosis change endodontic sequencing or extraction decisions?,multiple_choice,Which case has the strongest endodontic-first rationale?,Necrotic tooth with isolated lateral drainage and otherwise normal periodontal probing,Necrotic tooth with isolated lateral drainage and otherwise normal periodontal probing; Necrotic tooth with generalized advanced periodontitis and severe mobility; Root-filled tooth with suspected vertical root fracture and narrow 10 mm probing; Vital tooth with generalized periodontal abscesses,S58; S59; S106; S107; S108; S127; S142; S143
PERIOENDO-004-Q1,PERIOENDO-004,Endodontic-Periodontal Lesions,When should periodontal follow-up or surgery be timed after endodontic source control?,short_answer,Why is endodontic source control usually done before periodontal surgery in a primary endodontic lesion with a periodontal-appearing defect?,"The pocket or sinus may be an endodontic drainage pathway. Canal disinfection can remove the source, after which probing and radiographic response can be reassessed before deciding whether periodontal surgery is truly needed.",,S58; S59; S107; S108; S127
PERIOENDO-004-Q2,PERIOENDO-004,Endodontic-Periodontal Lesions,When should periodontal follow-up or surgery be timed after endodontic source control?,multiple_choice,Which sequence is most board-safe for a necrotic tooth with an isolated narrow deep probing defect and otherwise maintainable periodontium?,"Endodontic source control, then reassess probing and healing before deciding on periodontal surgery","Immediate regenerative periodontal surgery before pulp testing; Endodontic source control, then reassess probing and healing before deciding on periodontal surgery; Extraction solely because an isolated probing defect exists; Antibiotics alone until the pocket disappears",S58; S59; S107; S108; S127
PERIOENDO-005-Q1,PERIOENDO-005,Endodontic-Periodontal Lesions,When are periodontal regenerative approaches reasonable around endodontically treated teeth?,short_answer,What must be established before considering periodontal regeneration around an endodontically treated tooth?,"Endodontic source control, restorability and isolation, root integrity, maintainable periodontal defect anatomy, plaque/risk control, and supportive periodontal maintenance capacity.",,S107; S108; S127; S128; S129; S153; S154
PERIOENDO-005-Q2,PERIOENDO-005,Endodontic-Periodontal Lesions,When are periodontal regenerative approaches reasonable around endodontically treated teeth?,multiple_choice,Which claim about GTR or enamel matrix derivative is most board-safe in a true combined lesion?,"They are selected periodontal regenerative options, but evidence should not be generalized beyond appropriate defect anatomy and source control","They guarantee tooth survival if placed after RCT; They are selected periodontal regenerative options, but evidence should not be generalized beyond appropriate defect anatomy and source control; They replace the need for canal disinfection; They are indicated when a vertical root fracture causes the pocket",S107; S108; S127; S128; S129; S153; S154
PERIOENDO-006-Q1,PERIOENDO-006,Endodontic-Periodontal Lesions,How should recall and maintenance be planned after combined endodontic-periodontal therapy?,short_answer,What findings should be reassessed during follow-up after combined endodontic-periodontal therapy?,"Reassess probing depths and pattern, bleeding or suppuration, mobility, furcation status, symptoms, coronal seal/restorability, radiographic healing, periodontal risk factors, and whether root damage or persistent infection is more likely.",,S58; S107; S108; S127; S142; S143
PERIOENDO-006-Q2,PERIOENDO-006,Endodontic-Periodontal Lesions,How should recall and maintenance be planned after combined endodontic-periodontal therapy?,multiple_choice,"After adequate RCT, a tooth has no pain but a persistent isolated narrow deep pocket with suppuration. What is the best board-level response?","Reassess for root fracture, perforation, resorption, persistent endodontic infection, or residual periodontal defect","Declare the case healed because pain is gone; Reassess for root fracture, perforation, resorption, persistent endodontic infection, or residual periodontal defect; Perform regenerative surgery without checking root integrity; Stop periodontal maintenance because RCT was completed",S58; S107; S108; S127; S142; S143
PERIOENDO-007-Q1,PERIOENDO-007,Endodontic-Periodontal Lesions,How should limited survival or regeneration evidence be used in true combined lesions?,short_answer,Why should a survival percentage from a combined lesion study not automatically be applied to every true combined endodontic-periodontal lesion?,"Because prognosis depends on whether the study matches the case definition, root damage status, periodontal stage/grade, treatment sequence, restorability, defect anatomy, risk control, and maintenance setting.",,S58; S107; S108; S127; S10; S128; S129; S142; S143; S153; S154
PERIOENDO-007-Q2,PERIOENDO-007,Endodontic-Periodontal Lesions,How should limited survival or regeneration evidence be used in true combined lesions?,multiple_choice,A lecture quotes a high success rate for regenerative treatment of periodontal intrabony defects. What is the best board-level use of that evidence for a true combined lesion?,Use it as conditional periodontal-defect evidence after endodontic source control and case selection,Use it as conditional periodontal-defect evidence after endodontic source control and case selection; Promise the same survival rate for every true combined lesion; Ignore root fracture and nonrestorability because regeneration is available; Use the material before diagnosing the pulpal and periodontal sources,S58; S107; S108; S127; S10; S128; S129; S142; S143; S153; S154
PERIOENDO-008-Q1,PERIOENDO-008,Endodontic-Periodontal Lesions,When should CBCT or referral be escalated for root damage in a suspected combined lesion?,short_answer,Why should a negative CBCT not automatically rule out vertical root fracture in a suspected endodontic-periodontal lesion?,"CBCT is artifact-sensitive and imperfect, especially around root fillings, posts, and restorations. Persistent narrow probing, recurrent sinus tract, crack signs, or unexplained nonhealing still requires clinical correlation, referral, direct visualization, or prognosis reassessment.",,S8; S43; S45; S58; S63; S66; S67; S107; S162
PERIOENDO-008-Q2,PERIOENDO-008,Endodontic-Periodontal Lesions,When should CBCT or referral be escalated for root damage in a suspected combined lesion?,multiple_choice,"A root-filled molar has a recurrent sinus tract, narrow isolated 10 mm probing, and inconclusive periapical radiographs. What is the best board-level next frame?",Escalate root-damage assessment with selective CBCT or referral because the result could change prognosis,Repeat RCT immediately because the pocket is endodontic; Plan periodontal regeneration before checking root integrity; Escalate root-damage assessment with selective CBCT or referral because the result could change prognosis; Dismiss vertical root fracture if the first periapical radiograph does not show a fracture line,S8; S43; S45; S58; S63; S66; S67; S107; S162
CRACK-001-Q1,CRACK-001,Cracked Teeth And Root Fracture,How should cracked teeth be diagnosed and classified?,short_answer,Why should a suspected cracked tooth be assigned both a crack category and a pulpal/apical diagnosis?,"The crack category estimates structural prognosis, while the pulpal/apical diagnosis determines whether monitoring/restoration, VPT, RCT, retreatment, surgery, or extraction is biologically appropriate.",,S5; S63; S64; S67
CRACK-001-Q2,CRACK-001,Cracked Teeth And Root Fracture,How should cracked teeth be diagnosed and classified?,multiple_choice,Which finding most strongly increases suspicion for a vertical root fracture rather than routine symptomatic apical periodontitis?,An isolated narrow deep periodontal pocket on one root surface,Generalized mild plaque-induced 4 mm pockets; Lingering cold pain with no probing defect; An isolated narrow deep periodontal pocket on one root surface; A shallow occlusal enamel craze line only,S5; S63; S64; S67
CRACK-002-Q1,CRACK-002,Cracked Teeth And Root Fracture,"When is a cracked tooth restorable, monitored, endodontically treated, or extracted?",short_answer,Why does root canal treatment not by itself solve the prognosis problem in a cracked tooth?,"RCT can treat pulpal or apical disease caused by crack-related bacterial ingress, but the structural crack, occlusal loading, restorability, periodontal probing, and need for protective restoration still determine long-term prognosis.",,S52; S53; S63; S64; S65; S113; S114; S133; S134
CRACK-002-Q2,CRACK-002,Cracked Teeth And Root Fracture,"When is a cracked tooth restorable, monitored, endodontically treated, or extracted?",multiple_choice,Which cracked-tooth scenario is most appropriate for a preservation plan rather than immediate extraction?,"Restorable molar with a crown-contained crack, no deep probing, and irreversible pulpitis","Split tooth with visible segment separation and poor periodontal support; Single-rooted tooth with confirmed vertical root fracture; Restorable molar with a crown-contained crack, no deep probing, and irreversible pulpitis; Crack extending below bone with impossible isolation",S52; S53; S63; S64; S65; S113; S114; S133; S134
VRF-001-Q1,VRF-001,Cracked Teeth And Root Fracture,How should suspected vertical root fracture be confirmed and managed?,short_answer,Why is CBCT not a definitive rule-out test for vertical root fracture in a root-filled tooth?,"Root filling materials, posts, and restorations create artifacts that can mimic or obscure fracture lines, and early VRFs may not show clear hard-tissue changes.",,S8; S58; S63; S64; S66; S67
VRF-001-Q2,VRF-001,Cracked Teeth And Root Fracture,How should suspected vertical root fracture be confirmed and managed?,multiple_choice,A root-filled mandibular molar has a narrow isolated 9 mm probing on one root and a J-shaped radiolucency. What is the safest board-level framing?,Treat the finding as strong suspicion for vertical root fracture and confirm before retreatment or surgery,Assume routine apical periodontitis and retreat all canals immediately; Treat the finding as strong suspicion for vertical root fracture and confirm before retreatment or surgery; Use antibiotics as definitive care; Ignore probing if the crown looks intact,S8; S58; S63; S64; S66; S67
CRACK-003-Q1,CRACK-003,Cracked Teeth And Root Fracture,When is root resection or amputation reasonable for a cracked or vertically fractured multirooted tooth?,short_answer,What must be true before root resection is a reasonable option for a multirooted tooth with suspected VRF?,"The affected root problem should be isolated, and the remaining roots/tooth must be endodontically treatable, periodontally maintainable, restorable with ferrule, cleansable, and protected from unfavorable occlusal loading.",,S63; S64; S95; S96
CRACK-003-Q2,CRACK-003,Cracked Teeth And Root Fracture,When is root resection or amputation reasonable for a cracked or vertically fractured multirooted tooth?,multiple_choice,Which case is the best candidate for root amputation rather than immediate extraction?,"Maxillary molar with isolated fracture of one root, sound remaining roots, maintainable periodontium, and feasible cuspal-coverage restoration","Single-rooted premolar with confirmed VRF; Mandibular molar split into mobile segments through the furcation; Maxillary molar with isolated fracture of one root, sound remaining roots, maintainable periodontium, and feasible cuspal-coverage restoration; Molar with generalized advanced periodontitis and nonrestorable caries",S63; S64; S95; S96
CRACK-004-Q1,CRACK-004,Cracked Teeth And Root Fracture,How should occlusal protection and splinting be framed after cracked-tooth preservation?,short_answer,Why is a nightguard not a substitute for definitive cracked-tooth treatment?,"A nightguard may help distribute or protect against parafunctional loading, but it does not diagnose crack extent, seal bacterial ingress, restore cuspal coverage, treat pulpal/apical disease, or guarantee that a crack will stop propagating.",,S24; S63; S64; S97
CRACK-004-Q2,CRACK-004,Cracked Teeth And Root Fracture,How should occlusal protection and splinting be framed after cracked-tooth preservation?,multiple_choice,Which statement is the safest board framing for occlusal splints in cracked-tooth care?,"They can be considered for parafunction/load control but should not replace diagnosis, restoration, or follow-up","They cure bruxism and prevent all vertical root fractures; They can be considered for parafunction/load control but should not replace diagnosis, restoration, or follow-up; They make cuspal coverage unnecessary after cracked-tooth RCT; They are indicated for every endodontic tooth even with no occlusal contacts",S24; S63; S64; S97
CRACK-005-Q1,CRACK-005,Cracked Teeth And Root Fracture,How should cracked teeth be recalled after preservation?,short_answer,What findings should cracked-tooth recall monitor besides patient-reported pain relief?,"Recall should reassess pulp status when vital, percussion/palpation, full periodontal probing, mobility, occlusion, restoration integrity, marginal leakage, and periapical or furcation bone changes on appropriate radiographs.",,S10; S63; S64; S65; S98
CRACK-005-Q2,CRACK-005,Cracked Teeth And Root Fracture,How should cracked teeth be recalled after preservation?,multiple_choice,A root-filled cracked molar is asymptomatic at recall but now has a new isolated 8 mm probing on the distal root. What is the safest next frame?,Reassess for vertical root fracture or crack progression before routine retreatment,Discharge because symptoms resolved; Treat as routine coronal leakage only; Reassess for vertical root fracture or crack progression before routine retreatment; Prescribe antibiotics indefinitely,S10; S63; S64; S65; S98
CRACK-006-Q1,CRACK-006,Cracked Teeth And Root Fracture,How should orifice barriers be framed when a cracked tooth has radicular extension?,short_answer,Why is an orifice barrier in a radicular-extension cracked tooth an adjunct rather than definitive crack treatment?,"It may help seal and protect the canal/orifice area, but prognosis still depends on restorability, periodontal communication, crack extent, occlusal loading, cuspal coverage, and recall; it cannot repair a split root or confirmed VRF.",,S63; S64; S65; S114; S132; S146; S147
CRACK-006-Q2,CRACK-006,Cracked Teeth And Root Fracture,How should orifice barriers be framed when a cracked tooth has radicular extension?,multiple_choice,Which finding makes an orifice-barrier preservation plan least appropriate?,Separable split root with an isolated deep periodontal defect,Restorable molar with a chamber-floor crack but normal probing; Ability to place prompt cuspal coverage; Separable split root with an isolated deep periodontal defect; Patient accepts close recall and guarded prognosis,S63; S64; S65; S114; S132; S146; S147
CRACK-007-Q1,CRACK-007,Cracked Teeth And Root Fracture,How should non-root-filled teeth with suspected vertical root fracture be handled?,short_answer,Why can a non-root-filled tooth with an isolated deep probing defect still require a VRF workup?,"Vertical root fractures can occur in non-root-filled teeth under repetitive loading, and an isolated deep probing defect or root-surface bone loss may reflect a structural root communication rather than routine pulpal disease or generalized periodontitis.",,S63; S64; S67; S114
CRACK-007-Q2,CRACK-007,Cracked Teeth And Root Fracture,How should non-root-filled teeth with suspected vertical root fracture be handled?,multiple_choice,A vital mandibular molar with no prior RCT has biting pain and a narrow 9 mm probing isolated to one root. What is the safest board-level next frame?,"Evaluate for cracked tooth/VRF with probing, imaging, restorability, and possible referral before definitive treatment","Proceed directly to RCT because the tooth is vital; Prescribe antibiotics and observe only; Evaluate for cracked tooth/VRF with probing, imaging, restorability, and possible referral before definitive treatment; Place a crown immediately without additional diagnosis",S63; S64; S67; S114
CRACK-008-Q1,CRACK-008,Cracked Teeth And Root Fracture,How should material selection for orifice or cervical barriers in cracked teeth be framed?,short_answer,What is the board-safe purpose of an orifice or cervical barrier in a preserveable cracked tooth?,"To seal and protect the canal/orifice or cervical dentin region as part of a full preservation plan, not to cure a vertical root fracture or guarantee that crack propagation stops.",,S45; S63; S64; S132
CRACK-008-Q2,CRACK-008,Cracked Teeth And Root Fracture,How should material selection for orifice or cervical barriers in cracked teeth be framed?,multiple_choice,Which statement best frames material selection for an orifice barrier in a cracked tooth?,"Select a material for sealing, isolation, biocompatibility, and restorative compatibility after prognosis is established","One bioactive material has proven universal superiority for all radicular cracks; Select a material for sealing, isolation, biocompatibility, and restorative compatibility after prognosis is established; Barrier material replaces cuspal coverage after RCT; A barrier is indicated even when a split root is confirmed",S45; S63; S64; S132
